"timestamp","MAC","Device name","RSSI"
"761397137337779","EA:A5:34:E6:28:2E","ARKADIUSZ","-78"
"761397337823821","EA:A5:34:E6:28:2E","ARKADIUSZ","-74"
"761397540131113","EA:A5:34:E6:28:2E","ARKADIUSZ","-74"
"761397741900696","EA:A5:34:E6:28:2E","ARKADIUSZ","-74"
"761397948686164","EA:A5:34:E6:28:2E","ARKADIUSZ","-75"
"761398362762779","EA:A5:34:E6:28:2E","ARKADIUSZ","-89"
"761398780959966","EA:A5:34:E6:28:2E","ARKADIUSZ","-89"
"761399818577674","EA:A5:34:E6:28:2E","ARKADIUSZ","-92"
"761401849568975","EA:A5:34:E6:28:2E","ARKADIUSZ","-98"
"761406151972620","EA:A5:34:E6:28:2E","ARKADIUSZ","-75"
"761406346137359","EA:A5:34:E6:28:2E","ARKADIUSZ","-75"
"761406547918609","EA:A5:34:E6:28:2E","ARKADIUSZ","-75"
"761406959064703","EA:A5:34:E6:28:2E","ARKADIUSZ","-76"
"761407165597984","EA:A5:34:E6:28:2E","ARKADIUSZ","-76"
"761407373244442","EA:A5:34:E6:28:2E","ARKADIUSZ","-76"
